Canonical URL,RSD Name,Author,Skill Statement,Category,Keywords,Alignment Name
https://osmt.wgu.edu/api/skills/e703c2bc-ac14-441f-aeeb-6a014c054bdd,Responsibility for One's Behavior,Western Governors University,Take responsibility for one's ethical and unethical behavior.,Business Ethics,Business Ethics; Being; Business_Ethics; Professional_Ethics; WGUSID: 5,Business Ethics
https://osmt.wgu.edu/api/skills/34106294-b558-452b-a9ea-cad2bfc0f4f8,Ownership of Repercussions,Western Governors University,Take ownership of repercussions related to ethical behavior.,Business Ethics,Business Ethics; Being; Business_Ethics; Professional_Ethics; WGUSID: 5.1,Business Ethics
https://osmt.wgu.edu/api/skills/9fd7a612-2754-4b2f-8aab-8e2229e17f47,Information Security Program and Objectives Comparison,Western Governors University,Compare the information security program with the operational objectives of other business functions for ensuring that the information security program protects and adds value to the business.,Information Security Management,Information Systems Security; Information Security Management; Security Operations; Compromise Assessment; Computer Emergency Response Teams (CERT); Computer Security Incident Response (CSIRT); Defense Information Systems Agency (DISA); Dynamic Application Security Testing (DAST); Information Asset Classification; Personnel Security; Security Architecture; Security by Design; Security Event Triage; Security Implementation; Security Integration; Security Models and Design; Security Operations Center (SOC); Security Operations Management; Symantec Packages; Systems; Applications & Products (SAP) Enterprise Threat Detection (ETD); Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) Fiori Security; Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) User Interface 5 (UI5) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA); Fiori; and User Interface 5 (UI5) Security; Applications & Products (SAP) Security & Governance; Risk; and Compliance (GRC); ThreadFix; ThreatConnect; TippingPoint; TrapX DeceptionGrid; Varonis; Virtual Domains (VDOMs); Vormetric; Vormetric Application Encryption; Vormetric Tokenization; WGUSID: 153,Information Security Management
https://osmt.wgu.edu/api/skills/e50fb44e-9a8b-4049-8681-14b4b5f07be3,Contextual Analysis,Western Governors University,Analyze a wide range of business contexts for ethical issues.,Business Ethics,Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172,Business Ethics
https://osmt.wgu.edu/api/skills/2c83604e-d247-428d-89b6-88d1ae3008ae,Business Ethics Strategies Analysis,Western Governors University,Analyze business contexts for strategies to navigate ethical issues.,Business Ethics,Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.1,Business Ethics
https://osmt.wgu.edu/api/skills/ab1014bb-3d48-4255-b950-271f460df5cd,Business Context Ethics Analysis,Western Governors University,Analyze a wide range of business contexts for strategies to navigate ethical issues.,Business Ethics,Business Ethics; Professional_Ethics; Analysis; Analytical Techniques; Thinking; WGUSID: 172.2,Business Ethics
https://osmt.wgu.edu/api/skills/119f51cb-9ae8-43b5-b547-f01fbe770c45,Cyber Defense Tools Data Analysis,Western Governors University,Analyze data collected from cyber defense tools for event scope determination.,Information Security Management,Information Systems Security; Information Security Management; Compromise Assessment; Computer Emergency Response Teams (CERT); Computer Security Incident Response (CSIRT); Defense Information Systems Agency (DISA); Dynamic Application Security Testing (DAST); Information Asset Classification; Personnel Security; Security Architecture; Security by Design; Security Event Triage; Security Implementation; Security Integration; Security Models and Design; Security Operations Center (SOC); Security Operations Management; Symantec Packages; Systems; Applications & Products (SAP) Enterprise Threat Detection (ETD); Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) Fiori Security; Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) User Interface 5 (UI5) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA); Fiori; and User Interface 5 (UI5) Security; Applications & Products (SAP) Security & Governance; Risk; and Compliance (GRC); ThreadFix; ThreatConnect; TippingPoint; TrapX DeceptionGrid; Varonis; Virtual Domains (VDOMs); Vormetric; Vormetric Application Encryption; Vormetric Tokenization; Incident Detection and Response: The Big Picture; Splunk; IBM Radar; WGUSID: 232,Information Security Management
https://osmt.wgu.edu/api/skills/9a5ae0ec-48d9-4e6a-8fcb-267fde8dd174,Cyber Intelligence Analysis,Western Governors University,"Analyze cyber intelligence to uncover tactics,  techniques, and procedures (TTP).",Cyber Threat Intelligence,Information Systems Security; Cyber Threat Intelligence; Cyber Threat Intelligence (CTI); Threat Intelligence: The Big Picture; Security Architecture and Design: The Big Picture; Threat Intelligence and Analysis; WGUSID: 295,Cyber Threat Intelligence
https://osmt.wgu.edu/api/skills/c94f8b1a-c6dc-42cf-ad1b-14ff82e362d7,Ethics Principles Application,Western Governors University,Apply ethics principles to business situations.,Business Ethics,Business Ethics; Business_Ethics; Professional_Ethics; Doing; WGUSID: 451,Business Ethics
https://osmt.wgu.edu/api/skills/9e534366-9513-4eda-af41-4a8b760eff1f,Events Impact Identification Methods Application,Western Governors University,Apply methods for identifying and evaluating the impact of internal or external events on information assets and the business.,Information Security Management,Information Systems Security; Information Security Management; Compromise Assessment; Computer Emergency Response Teams (CERT); Computer Security Incident Response (CSIRT); Defense Information Systems Agency (DISA); Dynamic Application Security Testing (DAST); Information Asset Classification; Personnel Security; Security Architecture; Security by Design; Security Event Triage; Security Implementation; Security Integration; Security Models and Design; Security Operations Center (SOC); Security Operations Management; Symantec Packages; Systems; Applications & Products (SAP) Enterprise Threat Detection (ETD); Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) Fiori Security; Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) User Interface 5 (UI5) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA); Fiori; and User Interface 5 (UI5) Security; Applications & Products (SAP) Security & Governance; Risk; and Compliance (GRC); ThreadFix; ThreatConnect; TippingPoint; TrapX DeceptionGrid; Varonis; Virtual Domains (VDOMs); Vormetric; Vormetric Application Encryption; Vormetric Tokenization; Information Classification; WGUSID: 495,Information Security Management
https://osmt.wgu.edu/api/skills/0188b1bd-1058-49a8-8f4c-c819dbe09eb1,Information Security Program Resource Identification,Western Governors University,Identify requirements for internal and external resources for executing the information security program.,Information Security Management,Information Systems Security; Information Security Management; Compromise Assessment; Computer Emergency Response Teams (CERT); Computer Security Incident Response (CSIRT); Defense Information Systems Agency (DISA); Dynamic Application Security Testing (DAST); Information Asset Classification; Personnel Security; Security Architecture; Security by Design; Security Event Triage; Security Implementation; Security Integration; Security Models and Design; Security Operations Center (SOC); Security Operations Management; Symantec Packages; Systems; Applications & Products (SAP) Enterprise Threat Detection (ETD); Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) Fiori Security; Applications & Products (SAP) in Data Processing Business Suite 4 (S/4) User Interface 5 (UI5) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA) Security; Applications & Products (SAP) in Data Processing Business Suite 4 High-Performance Analytic Appliance (S/4HANA); Fiori; and User Interface 5 (UI5) Security; Applications & Products (SAP) Security & Governance; Risk; and Compliance (GRC); ThreadFix; ThreatConnect; TippingPoint; TrapX DeceptionGrid; Varonis; Virtual Domains (VDOMs); Vormetric; Vormetric Application Encryption; Vormetric Tokenization; Security Architecture and Design: The Big Picture; WGUSID: 496,Information Security Management
